"Longitude","Latitude","MeanSharkSpatialDensity"
-89.625,26.625,5.6728495110292e-05
-88.875,26.625,0.000119760159577709
-87.625,26.625,2.44039565586718e-05
-87.375,26.625,2.45895389525685e-05
-87.125,26.625,1.94205658772262e-05
-86.375,26.625,6.1590937548317e-05
-85.375,26.625,3.91942339774687e-05
-83.125,26.625,4.97342371090781e-05
-82.875,26.625,5.97319558437448e-05
-82.625,26.625,4.73351865366567e-05
-82.375,26.625,1.94205658772262e-05
35.125,26.625,6.79523654980585e-05
50.875,26.625,9.39385208766907e-05
51.125,26.625,4.15956164943054e-05
51.375,26.625,1.89094989764271e-05
51.625,26.625,3.72204995073844e-05
51.875,26.625,0.000124101658002473
52.125,26.625,1.94921285583405e-05
52.375,26.625,2.05303131224355e-05
52.625,26.625,8.37869156384841e-05
52.875,26.625,8.62158558447845e-05
53.125,26.625,0.000119646807434037
53.375,26.625,0.000113942383904941
-96.875,26.375,4.86244243802503e-05
-92.625,26.375,4.55425943073351e-05
-92.375,26.375,0.000122019788250327
-91.625,26.375,3.62556202162523e-05
-91.375,26.375,2.77555736829527e-05
-91.125,26.375,2.76369592029369e-05
-90.875,26.375,4.24185454903636e-05
-90.375,26.375,0.000122019788250327
-89.875,26.375,8.29108830657788e-05
-89.125,26.375,5.6728495110292e-05
-88.875,26.375,5.6728495110292e-05
-88.625,26.375,0.000129391963128
-88.375,26.375,5.72305179957766e-05
-88.125,26.375,6.20249920757487e-05
-87.875,26.375,6.85353152221069e-05
-87.625,26.375,4.86244243802503e-05
-87.375,26.375,1.89094989764271e-05
-86.875,26.375,3.61955462722108e-05
-86.125,26.375,5.17363878316246e-05
-83.875,26.375,2.3602367946296e-05
-83.125,26.375,1.85834724106826e-05
-82.875,26.375,1.90207319974434e-05
-82.625,26.375,1.97769077203702e-05
-82.375,26.375,1.96566834347323e-05
50.375,26.375,3.6536996049108e-05
50.875,26.375,0.000200604830752127
51.375,26.375,2.43386493821163e-05
51.625,26.375,6.3308805692941e-05
51.875,26.375,5.95175915805157e-05
52.125,26.375,2.02692117454717e-05
52.875,26.375,4.25463731517084e-05
53.125,26.375,0.000174398272065446
53.375,26.375,0.000229332581511699
53.875,26.375,4.58655922557227e-05
54.125,26.375,4.61932031612378e-05
54.625,26.375,3.82665602955967e-05
56.625,26.375,0.000100148557976354
-97.125,26.125,4.86244243802503e-05
-93.875,26.125,2.82403871096903e-05
-93.125,26.125,8.87654678081162e-05
-92.875,26.125,2.77555736829527e-05
-92.375,26.125,0.000122019788250327
-90.875,26.125,4.89008743898012e-05
-90.625,26.125,0.000122019788250327
-90.125,26.125,3.60850754077546e-05
-89.875,26.125,4.4294854887994e-05
