ID,Region,VesselType,OverlapMean,OverlapMedian,OverlapSD,OverlapSE,ColRiskMean,ColRiskMedian,ColRiskSD,ColRiskSE
ID219,IND_E,Total,88.0952381,92.85714286,15.79345138,7.896725691,0.001075754,0.000833918,0.001027152,0.000214176
ID220,IND_E,Total,97.43589744,100,4.441155917,2.564102564,0.000473204,0.000402185,0.000285912,5.31E-05
ID221,IND_E,Total,83.33333333,100,40.82482905,16.66666667,0.000716674,0.000220013,0.001013613,0.000156404
ID222,IND_E,Total,75,75,35.35533906,25,0.000257636,8.62E-05,0.000431465,0.000119667
ID223,IND_E,Total,75,75,35.35533906,25,0.002095828,0.001595624,0.002346194,0.001173097
ID224,IND_E,Total,100,100,0,0,0.000471273,0.000418797,0.000132377,7.64E-05
ID225,IND_E,Total,77.77777778,83.33333333,25.09242176,10.24393829,0.000952425,0.000393046,0.001580031,0.000329459
ID226,IND_E,Total,66.66666667,50,28.86751346,16.66666667,0.001164944,0.00084721,0.001257348,0.000562303
ID227,IND_E,Total,99.23076923,100,2.432521277,0.769230769,0.000836632,0.000239345,0.001657606,0.000148857
ID228,IND_E,Total,96.66666667,100,7.453559925,3.333333333,0.000279857,9.03E-05,0.000467513,6.42E-05
ID229,IND_E,Total,100,100,0,0,0.001153359,0.000853823,0.001026515,0.000235499
ID230,IND_E,Total,100,100,NA,NA,0.000431769,0.000418797,5.44E-05,3.14E-05
ID231,IND_E,Total,95,100,10,5,0.00097036,0.000432987,0.001399764,0.000349941
ID232,IND_E,Total,93.33333333,100,14.90711985,6.666666667,0.001367776,0.000753659,0.001345405,0.000280536
ID233,IND_E,Total,100,100,0,0,0.000361012,0.000219751,0.000494361,9.51E-05
ID234,IND_E,Total,100,100,NA,NA,0.00298381,0.00298381,NA,NA
ID235,IND_E,Total,92.85714286,100,18.89822365,7.142857143,0.002804251,0.001034537,0.005210867,0.001086541
ID236,IND_E,Total,100,100,0,0,0.001183427,0.000674776,0.001318253,0.000177753
ID237,IND_E,Total,100,100,0,0,0.000382666,0.00029718,0.00033809,6.90E-05
ID238,IND_E,Total,100,100,0,0,0.0028298,0.001843211,0.003639079,0.001150778
ID239,IND_E,Total,96.2962963,100,6.728111898,2.74674018,0.000768994,0.000509466,0.001115464,0.000156196
ID240,IND_E,Total,75,100,50,25,0.000658983,0.000496437,0.000625604,0.000197833
ID241,IND_E,Total,97.91666667,100,5.89255651,2.083333333,0.001380088,0.000426144,0.001733454,0.000233739
ID242,IND_E,Total,100,100,0,0,0.000258763,0.000230945,0.000157788,5.96E-05
ID243,IND_E,Total,95.83333333,100,8.333333333,4.166666667,0.000733353,0.000403892,0.000933891,0.000208824
ID244,ATL_N,Total,100,100,0,0,0.000857747,0.0007879,0.001044926,0.000394945
ID245,ATL_N,Total,100,100,0,0,0.001034044,0.001034044,0.000544472,0.000385
ID246,ATL_N,Total,100,100,0,0,0.025688071,0.022104677,0.026662022,0.006116687
ID247,ATL_N,Total,100,100,0,0,0.006393456,0.003203521,0.008314988,0.001187855
ID248,ATL_N,Total,100,100,0,0,0.010249718,0.008420829,0.011347405,0.00197533
ID249,PAC_W,Total,91.3003663,100,13.79730029,5.632724257,0.000429143,0.000112208,0.00083378,7.95E-05
ID250,PAC_W,Total,100,100,NA,NA,8.02E-05,8.02E-05,NA,NA
ID251,PAC_W,Total,88.69047619,91.66666667,13.93416656,6.96708328,0.000989682,5.76E-05,0.002090009,0.000394975
ID252,PAC_W,Total,87.5,87.5,17.67766953,12.5,8.99E-05,8.49E-05,7.15E-05,2.70E-05
ID253,PAC_W,Total,100,100,NA,NA,6.66E-05,6.66E-05,NA,NA
ID254,ATL_N,Total,100,100,0,0,0.005102615,0.004584654,0.005470065,0.001072768
ID255,ATL_N,Total,100,100,0,0,0.00123756,0.001042609,0.000773935,0.000139003
ID256,ATL_N,Total,100,100,0,0,0.010921784,0.007988113,0.009546154,0.00225005
ID257,IND_NW,Total,80.80357143,80.80357143,6.944798744,4.910714286,0.001115144,0.000359249,0.001729844,0.000576615
ID258,IND_NW,Total,99.01785714,100,1.964285714,0.982142857,0.006494934,0.005795266,0.006750102,0.001509369
ID259,IND_NW,Total,99.42857143,100,1.27775313,0.571428571,0.012817441,0.011385259,0.009911909,0.00221637
ID260,IND_NW,Total,97.5,97.5,3.535533906,2.5,0.004377709,0.002647033,0.006114914,0.001695972
ID261,IND_NW,Total,87.85714286,87.85714286,NA,NA,0.002801278,0.001978424,0.002741367,0.001370683
ID262,IND_NW,Total,98.61111111,100,3.402069087,1.388888889,0.00980211,0.007723233,0.011198133,0.001688182
ID263,IND_NW,Total,100,100,0,0,0.006714071,0.004579089,0.006411599,0.002027526
ID264,IND_NW,Total,87.5,87.5,17.67766953,12.5,0.001905848,1.65E-05,0.003274951,0.001890794
ID265,IND_NW,Total,76.15079365,76.15079365,9.484210002,6.706349206,0.002257995,0.000390236,0.003751941,0.001002748
ID266,IND_NW,Total,82.04761905,90.47619048,23.63664219,11.8183211,0.001167216,9.21E-05,0.002169821,0.000511432
ID267,IND_NW,Total,97.77777778,100,3.849001795,2.222222222,0.004195555,0.004921231,0.002003169,0.000603978
ID268,IND_NW,Total,99.10714286,100,1.785714286,0.892857143,0.013401915,0.005389725,0.019393695,0.006132825
ID269,IND_NW,Total,98.57142857,100,2.857142857,1.428571429,0.003706038,0.001262454,0.004707056,0.001305503
ID270,IND_NW,Total,96.82539683,100,5.939138709,2.099802628,0.012666115,0.008722071,0.014585107,0.002538941
ID271,IND_NW,Total,96.73340548,96.72619048,3.089559898,1.261307547,0.009627188,0.007145686,0.009942615,0.001406098
ID272,IND_NW,Total,96.42857143,96.42857143,5.050762723,3.571428571,0.001843876,0.000747927,0.002555653,0.001475507
